Transaction Date,Post Date,Description,Category,Type,Amount,Memo
05/18/2022,05/19/2022,TST* SHARON KOREAN,Food & Drink,Sale,-14.92,
05/17/2022,05/18/2022,PAYPAL *AFOULKI,Professional Services,Sale,-25.00,
05/11/2022,05/12/2022,USA*CSC SERVICEWORK,Food & Drink,Sale,-1.25,
05/11/2022,05/12/2022,QUINCY SERVICE CENTER,Gas,Sale,-52.20,
05/06/2022,05/06/2022,Payment Thank You - Web,,Payment,200.00,
05/04/2022,05/05/2022,ROCHE BROTHERS115,Groceries,Sale,-13.47,
05/05/2022,05/05/2022,NAME-CHEAP.COM* 1AMTU7,Professional Services,Sale,-1.18,
05/02/2022,05/02/2022,PAYPAL *EBAY US,Shopping,Sale,-10.75,
04/30/2022,05/01/2022,METROPCS AUTO PAY,Bills & Utilities,Sale,-60.00,
04/30/2022,05/01/2022,Payment Thank You - Web,,Payment,500.00,
04/28/2022,04/29/2022,QUINCY AUTO REPAIR INC,Gas,Sale,-48.52,
04/28/2022,04/29/2022,PAYPAL *TWOO UNLIMITED,Personal,Sale,-10.99,
04/24/2022,04/26/2022,STAPLES       00112946,Shopping,Sale,-2.98,
04/24/2022,04/26/2022,STAPLES       00112946,Shopping,Sale,-15.93,
04/24/2022,04/25/2022,WALGREENS #11831,Health & Wellness,Sale,-20.98,
04/24/2022,04/25/2022,PROGRESSIVE INS,Bills & Utilities,Sale,-465.00,
04/17/2022,04/18/2022,WALGREENS #5586,Health & Wellness,Sale,-2.71,
04/16/2022,04/18/2022,99 PUB RSTRS 30139,Food & Drink,Sale,-23.20,
04/16/2022,04/17/2022,MARSHALLS #0027,Shopping,Sale,-105.11,
04/16/2022,04/17/2022,WALGREENS #11831,Health & Wellness,Sale,-39.29,
04/16/2022,04/17/2022,SPEEDWAY 02510,Gas,Sale,-43.31,
04/06/2022,04/08/2022,STAPLES       00112946,Shopping,Sale,-2.12,
04/06/2022,04/08/2022,STAPLES       00112946,Shopping,Sale,-2.65,
04/07/2022,04/07/2022,Payment Thank You - Web,,Payment,463.48,
04/03/2022,04/04/2022,SPEEDWAY 02510,Gas,Sale,-31.23,
04/01/2022,04/01/2022,PURCHASE INTEREST CHARGE,Fees & Adjustments,Fee,-7.26,
03/31/2022,04/01/2022,METROPCS AUTO PAY,Bills & Utilities,Sale,-60.00,
03/29/2022,03/30/2022,PAYPAL *TWOO,Personal,Sale,-10.99,
03/27/2022,03/27/2022,AUTOMATIC PAYMENT - THANK,,Payment,40.00,
03/17/2022,03/18/2022,MBTA QUINCY CENTER,Travel,Sale,-4.80,
03/14/2022,03/16/2022,SEGPAY.COM  *SKYLINE,Shopping,Sale,-6.99,
03/11/2022,03/13/2022,SCRUBADUB QUINCY,Automotive,Sale,-10.00,
03/10/2022,03/13/2022,7-ELEVEN 37485,Gas,Sale,-12.51,
03/11/2022,03/13/2022,7-ELEVEN 37373,Gas,Sale,-4.10,
03/10/2022,03/11/2022,THAI NOODL* THAI NOODL,Food & Drink,Sale,-20.28,
03/09/2022,03/10/2022,7-ELEVEN 37485,Gas,Sale,-9.88,
03/07/2022,03/09/2022,SEGPAY.COM  *SKYLINE,Shopping,Sale,-6.99,
03/06/2022,03/07/2022,7-ELEVEN 37485,Gas,Sale,-15.67,
03/02/2022,03/02/2022,PURCHASE INTEREST CHARGE,Fees & Adjustments,Fee,-2.91,
02/28/2022,03/02/2022,SEGPAY.COM  *SKYLINE,Shopping,Sale,-6.99,
03/01/2022,03/02/2022,7-ELEVEN 37485,Gas,Sale,-5.13,
02/28/2022,03/01/2022,METROPCS AUTO PAY,Bills & Utilities,Sale,-60.00,
02/28/2022,03/01/2022,THAI NOODL* THAI NOODL,Food & Drink,Sale,-18.14,
02/27/2022,02/28/2022,7-ELEVEN 37485,Gas,Sale,-13.85,
02/27/2022,02/28/2022,SQ *JIMMY'S HOUSE OF PIZZ,Food & Drink,Sale,-16.05,
02/27/2022,02/27/2022,AUTOMATIC PAYMENT - THANK,,Payment,40.00,
02/21/2022,02/23/2022,SEGPAY.COM  *SKYLINE,Shopping,Sale,-6.99,
02/21/2022,02/21/2022,THAI NOODL* THAI NOODL,Food & Drink,Sale,-11.72,
02/15/2022,02/16/2022,7-ELEVEN 37485,Gas,Sale,-3.28,
02/14/2022,02/16/2022,SEGPAY.COM  *SKYLINE,Shopping,Sale,-6.99,
02/12/2022,02/13/2022,WAL-MART #2341,Shopping,Sale,-13.78,
02/12/2022,02/13/2022,QUINCY SERVICE CENTER,Gas,Sale,-28.70,
02/12/2022,02/13/2022,SCRUBADUB QUINCY,Automotive,Sale,-10.00,
02/09/2022,02/10/2022,WENDYS #0925,Food & Drink,Sale,-11.76,
02/08/2022,02/10/2022,7-ELEVEN 37485,Gas,Sale,-18.73,
02/08/2022,02/09/2022,THAI NOODL* THAI NOODL,Food & Drink,Sale,-16.00,
02/07/2022,02/09/2022,SEGPAY.COM  *SKYLINE,Shopping,Sale,-6.99,
02/02/2022,02/03/2022,7-ELEVEN 37485,Gas,Sale,-14.91,
01/31/2022,02/01/2022,METROPCS AUTO PAY,Bills & Utilities,Sale,-60.00,
01/31/2022,02/01/2022,SCRUBADUB QUINCY,Automotive,Sale,-10.00,
01/31/2022,02/01/2022,FACEBK 59K3JBF7Z2,Professional Services,Sale,-14.00,
